english,english-definition,spanish,spanish-definition,comments,proposals,category,tags
,,,,,,,
balancing of equities ,,"sopesar, equilibrar los factores (positivos y negativos)",,"This can be a very difficult phrase to deal with in the moment, and it should be noted that equities themselves are, generally speaking, positive factors (BIA Interim Decision #3342, In re C-V-T-, Respondent, p. 11), while the opposite would be adverse factors. For more details, see unusual, outstanding and countervaillance equities.",,,
,,,,,,,
,,,,,,,
Bar Association,,colegio de abogados,,,,,
,,,,,,,
bars to asylum,,impedimentos al asilo,,,,,
,,,,,,,
battered child,,niño maltratado,,"USCIS: ""cónyuge, hijos y padres abusados"" as per USCIS; For more exhaustive discussion, see 'Abuse' reference. https://www.uscis.gov/es/programas-humanitarios/conyuge-hijos-y-padres-abusados/conyuge-hijos-y-padres-abusados ",,,
,,,,,,,
,,,,,,,
battered spouse,,conyuge maltratado,,,,,
,,,,,,,
beneficiaries,,beneficiario(s),,,,,
,,,,,,,
benefit (immmigration),,beneficio (migratorio),,,,,
,,,,,,,
BIA (Board of Immigration Appeals),,Junta de Apelaciones Migratorias,,,,,
,,,,,,,
binding decision,,decisión vinculante,,See 'Decisions and Appeals' for more on 'decision'.,,,
,,,,,,,
,,,,USCIS talks about 'servicios biométricos',,,
biometrics,,proceso biométrico,,,,,
,,,,,,,
birth certificate,,"acta, partida, o certificado de nacimiento",,,,,
,,,,,,,
bona Fide,,auténtico,,,,,
,,,,,,,
bond,,Fianza,,See 'bail'.,,,
,,,,,,,
,,,,,,,
bond Proceedings,,"Proceso, diligencias de determinación de fianza",,,,,
,,,,,,,
border Crosser ,,(uno que) cruza la frontera,,"When rendering this phrase, take into account the context. At times it is used technically, to refer to a specific pattern of leaving and entering the United States, and at times it is used in a negative, derogatory sense.",,,
,,,,,,,
,,,,,,,
border crossing card ,,tarjeta de cruce,,"The Dept of State is the issuer of this document. Their website refers to it as a ""tarjeta para cruzar la frontera"" https://mx.usembassy.gov/es/visas-es/turismo-y-visitantes/preguntas-frecuentes/ but that same website talks about 'calificar' and 'expirar' so... 'Tarjeta de cruce' observed by OJLR in two separate hearings in August/Sept 2019, spoken by borderlands Spanish speakers.",,,
,,,,,,,
,,,,,,,
border Patrol Sector,,sector de la patrulla fronteriza,,,,,
,,,,,,,
borderline case ,,"caso dudoso, limítrofe",,Phrases involving 'dudoso' are likely to be understood. 'limítrofe' is a correct translation of 'borderline' but may be too technical for this context.,,,
,,,,,,,
,,,,,,,
brief,,"escrito, escritos",,,,,
,,,,,,,
"brief, casual and innocent departure ",,"una salida breve, casual, e inocente",,"8 CFR § 244.1: ""Brief, casual, and innocent absence means a departure from the United States that satisfies the following criteria:
(1) Each such absence was of short duration and reasonably calculated to accomplish the purpose(s) for the absence;
(2) The absence was not the result of an order of deportation, an order of voluntary departure, or an administrative grant of voluntary departure without the institution of deportation proceedings; and
(3) The purposes for the absence from the United States or actions while outside of the United States were not contrary to law.""",,,
,,,,,,,
,,,,,,,
burden of proof,,carga de la prueba,,,,,
,,,,,,,
business Nonimmigrant,,no inmigrante por negocios,,See discussion under 'business visitor visa',,,
,,,,,,,
,,,,,,,
business visitor visa ,,"visa, visado de visitante por negocios",,"Consider the Schengen 'visado por negocios' (Spain), Mexico's 'visa de negocios' (Sec. de Relaciones Ext.), also known as 'visa de visitantes con permiso para realizar actividades remuneradas' (Instituto Nacional de Migración)",,,
,,,,,,,
,,,,,,,
