english,english-definition,spanish,spanish-definition,comments,proposals,category,tags
prejudice (withdraw application with/without) ,,definitivamente/no definitivamente; firme/no firme; con fuerza de cosa juzgada/sin fuerza de cosa juzgada,,"Prejudice is one of those terms that legal intepreters and translators love to fight over. This is the situation: In English, we have these two terms, 'with' and 'without prejudice', and they mean, essentially, that (in general) the same charges or case could, or could not, be filed again. Interestingly, this meaning of prejudice, while used in Black's, is not defined. This is related to the concept of res judicata, also known as cosa juzgada, which Black's gives as ""1. An issue that has been definitively settled by judicial decision. 2. An affirmative defense barring the same parties from litigating a second lawsuit on the same claim, or any other claim arising from the same transaction or series of transactions and that could have been--but was not--raised in the first suit."" That second definition is the meaning given by Black's for prejudice. So while the concepts are almost identical, their usage is not. In addition, there is, in Spanish, the concept of firme, defined by the DEJ of the RAE as, ""Adm. y Proc. Dicho de un acto o resolución administrativa o judicial: Invariable, por no haber sido impugnado o no admitir recurso."" Frequently, this is used to express whether a sentence is firme o no.  In a way, this is a good thing for us translators and interpreters--it gives us power to decide how we want to express the concept. The flip side to this is that we need to understand the different concepts and deploy them properly. This particular usage--'the application has been withdrawn with prejudice'--could, for example, be rendered as se ha retirado la solicitud definitivamente,  or perhaps se ha retirado la solicitud de manera firme, but definitely not se ha retirado la solicitud con fuerza de cosa juzgada, because after all, a decision has not been made about the application. If it were regarding a criminal case, or even an individual hearing on an application for relief, our options are different. For additional consideration, see entries on 'sobreseimiento' and 'desestimación' in the 'Decisions and Appeals' reference.",,,
,,,,,,,
,,,,,,,
preponderance of the evidence,,preponderancia de las pruebas,,,,,
,,,,,,,
pre-termit (an application),,"denegar, denegación anticipada",,"To 'pre-termit', usually 'an application', in immigration proceedings, refers to the denial of an application without a hearing on its  merits due to the respondent being ineligible for the relief sought.",,,
,,,,,,,
,,,,,,,
prevail ('if we don't prevail'),,prosperar,,,,,
,,,,,,,
prima facie eligibility,,"cumplir con, reunir los requisitos a primera vista",,"Note that prima facie eligibility, for example in 42-B cancellation, refers to some basic facts: one does not have disqualifying convictions, one has (allegedly) been in the country for 10 years, and one has (allegedly) a qualifying USC relative. The rest of the factors, including hardship, etc., have to be shown. 'tener derecho a' goes much farther than what is intended by 'eligibility' in this context; the more tentative 'reunir los requisitos' is more appropriate.",,,
,,,,,,,
,,,,,,,
principal alien,,extranjero principal,,,,,
,,,,,,,
principal applicant,,solicitante principal,,,,,
,,,,,,,
priority date ,,fecha de prioridad,,,,,
,,,,,,,
"priors, rap sheet, criminal record",,"antecedentes penales, historial penal",,,,,
,,,,,,,
proffer,,resumir; resumen,,"The term 'proffer', in most legal environments, would be equivalent to 'present' or 'file' or, sometimes, 'argue'; it's the offering of an argument or a piece of evidence in court. However, in Immigration Court, it can have a specific meaning: to orally summarize, or agree to summarize, the main points of what a witness would testify to in place of a written affidavit, so as to avoid having to put the witness on the stand and have them testify. This is often done with minor children, or experts when testimony has gone on too long and there's not enough time left.",,,
,,,,,,,
,,,,,,,
pro se ,,"en representación propia, abogar por si mismo/a, auto-representación, representarse a sí mismo",,"There are many latinisms in English legal language, this being one of the most prominent. You will often hear translators and interpreters say that you can simply leave a Latin phrase as-is when interpreting or translating, especially as any Spanish-speaking attorney worth their salt would probably be familiar with the Latin phrase. 'Pro se', itself, almost sounds like something that has meaning in Spanish, and it is broadly used throughout the United States in translated materials provided by law firms, courts, and other agencies. As a result, some speakers may be familiar with the term. That said, the author has yet to find a native Spanish-language source which uses the phrase 'pro se' to describe the situation of a litigant appearing before a court without a lawyer. Most often, sources describe this as 'en representación propia' (for examples of this, at least in Spain, google 'proceso monitorio', equivalent to a default debt collection proceeding). Keep in mind that IJs often use several phrases in a row to describe pro se representation, so it's good to have several formulations handy.",,,
,,,,,,,
,,,,,,,
probation,,libertad condicional,,,,,
,,,,,,,
"procedural code, legal code",,"código procesal, legal",,,,,
,,,,,,,
procedure,,procedimiento,,,,,
,,,,,,,
proceeding,,"diligencia, audiencia",,,,,
,,,,,,,
proceedings,,(overall process) proceso; (a few hearings) diligencias,,,"to be placed in proceedings': ?? Example: ""If I determine that the asylum officer made a mistake in your case, I will vacate the decision, and you will be placed in proceedings where you can seek relief.",,
,,,,,,,
process,,proceso,,,,,
,,,,,,,
proffer,,"resumir, resumen",,"The word 'proffer' has a generic legal meaning of ""To offer or tender (something , esp. evidence) for immediate acceptance."" (Black's, p. 1329) In the EOIR context, however, it has a specific usage, which could be summarized as 'to offer a summary of the facts to which a witness would testify without the witness having to testify'. This is seen frequently with witnesses who are children, or witnesses whose testimony might be repetitive--or sometimes when there's an attempt to save time. See also 'stipulate'.",,,
,,,,,,,
,,,,,,,
proof of departure,,"prueba, comprobante de salida",,,,,
,,,,,,,
proof of service ,,"constancia, comprobante de entrega, traslado",,,,,
,,,,,,,
prosecution,,"encausamiento, enjuiciamiento, procesamiento",,,,,
,,,,,,,
prosecutorial discretion,,"a discreción del/la fiscal, la fiscalía",,,,,
,,,,,,,
prospective employment,,"posible empleo, trabajo",,,,,
,,,,,,,
proxy marriage,,"casamiento, matrimonio por poder",,,,,
,,,,,,,
"public assistance, benefits",,"asistencia pública (MX), ayuda pública, subvención (ES)",,"Public assistance, synonymous with 'public benefits', or often just 'benefits' in the United States, is a broad category. It refers to everything from emergency cash for heating or electricity bills, to foodstamps, state-subsidized healthcare, and more. See 'social services' reference for more.",,,
,,,,,,,
,,,,,,,
"Public Charge, public burden",,"(US Immigration rules) Carga Pública; carga al público, carga para la asistencia social",,"The United States has long had a history (since the 19th century) of rules in immigration designed to eliminate or discourage the entry of immigrants who could become a burden to society, that is, a public charge. 'burden' is translated as 'carga' (onus probandi should be left in Latin), and charge, here, is a bit of an antiquated usage that refers to what is more commonly called being a ward, commonly heard in Juvenile or Family law contexts in the phrase ward of the state, which could be rendered as pupilo del Estado. Using 'pupilo' for 'public charge' would be an over-translation, choosing a term that is more specific than what is meant: carga is an appropriate equivalent for both burden and charge. There is extensive usage of 'carga pública' to refer to these US rules, from USCIS to immigration advocacy groups to press coverage in Mexico and Spain. ( https://www.uscis.gov/es/tarjeta-verde/carga-publica )This concept of immigrants being a burden exists in Spain; searches on the topic in Mexico revealed programs designed to support migrants, rather than exclude them. Spain's phrasing is, ""...para no convertirse en una carga para la asistencia social en España durante su periodo de residencia..."" (emphasis added). http://extranjeros.mitramiss.gob.es/es/InformacionInteres/InformacionProcedimientos/CiudadanosComunitarios/hoja102/index.html#aplicacion",,,
,,,,,,,
,,,,,,,
public record,,"documento público, de conocimiento público",,,,,
,,,,,,,
pursuant to section...,,"conforme, según, a tenor del artículo…",,,,,
,,,,,,,
"qualify, to",,"reunir, cumplir los requisitos ",,,,,
,,,,,,,
qualified representative,,representante cualificado,,"See 'Accredited Representative'. Qualified -- works with those who are not competent. Accredited -- not necessarily an attorney, can be prime.",,,
,,,,,,,
,,,,,,,
qualifying relative,,familiar que reúne los requisitos,,Generally in 42-B or 485 relief.,,,
,,,,,,,
,,,,,,,
quota system,,sistema de cuotas,,,,,
,,,,,,,
re-entry permit,,"permiso de reingreso, de volver a entrar",,"While 're-entrar' may be intuitive, it doesn't appear to be widely used by reputable sources; 'reingresar' is, however, in the RAE.",,,
,,,,,,,
,,,,,,,
reason to believe,,"razón, motivo para creer",,"While this sounds conceptually similar to probable cause, it is not a synonym nor is it a formal legal standard. See 'Grounds and Standards of Proof' reference for more.",,,
,,,,,,,
,,,,,,,
reasonable grounds,,"indicios razonables, motivos razonablemente fundados (CO)",,check this,,,
,,,,,,,
reasonable person standard,,estándar de la persona razonable,,"The 'reasonable person standard' is a legal criteria that is applied both in criminal and in civil law. It is a legal fiction,and essentially consists of an idealized version of how a reasonable person would act under given circumstances. As a legal standard, it does not exist in Civil/Roman/Hispanic law, and therefore, a literal translation of the Common-Law/Anglo law is appropriate. See Juan Pablo Pérez-León Acevedo, The inconvenience of the reasonable person standard in criminal law, Derecho PUCP, Revista de la Facultad de Derecho, No. 73, 2014, pp. 505-509",,,
,,,,,,,
,,,,,,,
"reasonable, substantial, and probative evidence (sustained by)",,"(confirmado por) pruebas razonables, sustanciales, y probativas",,This is the (old) standard for deportability. See Grounds and Standards of Proof reference for more.,,,
,,,, ,,,
,,,,,,,
rebuttal evidence,,contraprueba,,"Jowers, p. 381",,,
,,,,,,,
,,,,,,,
rebuttable presumption,,presunción refutable,,,,,
,,,,,,,
receipt notice,,acuse de recibo,,,,,
,,,,,,,
recess (legal),,descanso,,"According to the DPEJ, 'receso' refers to temporarily closing an administration or university or some larger organization. 'suspenso' is generally longer-term, an equivalent to English 'deferral' or 'abeyance'. 'recreo' is, of course, the term used for recess in an elementary or even secondary school context. 'descanso' is suggested in the absence of further source evidence, as well as elliptical constructions using 'levantar la sesión'.",,,
,,,,,,,
,,,,,,,
"record (i.e., official court record)",,acta,,,,,
,,,,,,,
record checks,,verificación de antecedentes,,,,,
,,,,,,,
record of conviction,,antecedentes de condenas previas,,,,,
,,,,,,,
record of negative credible fear finding and request for review by immigration judge (I- 869),,acta de fallo negativo sobre el temor creíble y petición para su revisión por un Juez de Inmigración,,,,,
,,,,,,,
"record of proceeding (ROP), record of proceedings ",,"acta del procedimiento, expediente",,,,,
,,,,,,,
record of sworn statement (in administrative proceedings),,constancia/acta de declaración jurada (en un proceso administrativo),,"This is the name of the I-877, which is a CBP/USCIS/DHS form used in admitting Cubans to the United States.",,,
,,,,,,,
,,,,,,,
records check,,verificación/búsqueda/registro de antecedentes (penales),,,,,
,,,,,,,
recross (examination),,segundo contrainterrogatorio,,,,,
,,,,,,,
redirect (examination),,segundo interrogatorio directo,,,,,
,,,,,,,
reentry permit,,permiso para volver a entrar al país,,"Be careful with what words you put 're' on the front of. Many of them may sound like words in Spanish but would be, in fact, a kind of Spanglish.",,,
,,,,,,,
,,,,,,,
referral assessment,,evaluación del remitente,,"This is an assessment (evaluación), made generally by USCIS, of an asylum claim, that the IJ receives when the case is referred (remitido) to the EOIR from USCIS, generally after a denial by USCIS.",,,
,,,,,,,
,,,,,,,
refugee,,refugiado,,,,,
,,,,,,,
refugee claim,,"(application) solicitud; (request for refugee status) petición para la concesión, otorgamiento de condición, estatuto de refugiado; (the story, arguments, and information presented in the application and evidence) pretensión, pretensiones, reclamar, reclamación",,"Generally we do not deal with 'refugee status' per se in Immigration Court; it does, however, get bundled in with 589-related relief. See 'asylum claim' and 'claim'.",,,
,,,,,,,
,,,,,,,
refugee status,,"condición, (EU) estatuto de refugiado",,"See 'adjustment of status', above, and 'Nationality and Status' reference for more.",,,
,,,,,,,
,,,,,,,
registry,,registro,,"As per USCIS: ""Registry is a section of immigration law that enables certain individuals who have been present in the United States since Jan. 1, 1972, the ability to apply for a Green Card (permanent residence), even if they are currently in the United States unlawfully.""",,,
,,,,,,,
,,,,See 'registry'.,,,
registry date,,fecha de registro,,,,,
,,,,See 'registry'.,,,
registry relief,,amparo por registro,,,,,
,,,,,,,
release on bond,,libertad bajo fianza,,,,,
,,,,,,,
reliable evidence,,pruebas fidedignas,,,,,
,,,,,,,
relief,,amparo (migratorio),," Amparo is a generic noun whose meaning is what we are looking for. However, it should never be termed a 'recurso de amparo', which is a separate, highly specific, type of trial or process which is carried out (more or less, an appeal to the Supreme Court based on constitutional or human rights grounds). A 'beneficio' can be applicable, depending on the context; a 'recurso' is strictly speaking an appeal or petition-like action. 'remedio', legally speaking, is a synonym of 'recurso'.",,,
,,,,,,,
,,,,,,,
relief from deportation,,amparo contra la deportación,,,,,
,,,,,,,
relief from removal,,amparo contra la expulsión,, ,,,
,,,,,,,
religious worker,,trabajador religioso,,Both USCIS and the Ministerio de Exteriores of Spain use the term 'religioso' for this.,,,
,,,,,,,
,,,,,,,
relocation,,reubicación; (internal relocation) reubicación dentro del país,,"See ACNUR manual, p. 114. Also frequently seen in Spanish is the issue of ""desplazamiento interno"", or ""internally displaced persons"".",,,
,,,,,,,
,,,,,,,
remand,,retrotraer (sending a case back down to a court of lesser instance); remitir (rendition of a person or case to an authority) ,,"For more information on this term, see 'Decisions and Appeals' reference",,,
,,,,,,,
,,,,,,,
remittance,,remesa,,,,,
,,,,,,,
removable alien,,"extranjero sujeto a, objeto de, la expulsión, expulsable",,"Anuario de la Comisión de Derecho Internacional 2009, Vol.I, p. 63; ",,,
,,,,,,,
,,,,,,,
removal,,expulsión,,,,,
,,,,,,,
removal hearing,,audiencia/vista de expulsión,,,,,
,,,,,,,
removal proceeding,,proceso/diligencia de expulsión,,,,,
,,,,,,,
remove at government expense,,expulsar a costo/expensas del gobierno,,,,,
,,,,,,,
render a decision,,pronunciar/emitir un fallo,,,,,
,,,,,,,
reopen a case,,"reactivar, reabrir, volver a abrir, entablar un caso",,"Please note that 'reopening' refers to the same case that previously was closed (for whatever reason, administrative closure or the respondent obtaining status) being reopened against the respondent. Contrast this with 'repapering'.",,,
,,,,,,,
,,,,,,,
repapering,,"volver a entablar, formular, emitir, presentar imputaciones",,"Please note that 'repapering' refers to the issuing of new charges against a respondent via a new NTA, perhaps on new grounds or under a different section of the INA. Contrast with 'reopen'.",,,
,,,,,,,
,,,,,,,
represented by counsel,,"representado por un licenciado, abogado, letrado; ",,,,,
,,,,,,,
required departure,,salida obligatoria,,,,,
,,,,,,,
rescission case,,"(caso de) anulación, rescisión de la ciudadanía",,"This refers to the rescission of naturalization. Google shows mainly results regarding the US, but under 'anulación' there are discussions of similar issues in, for example, Colombia.",,,
,,,,,,,
,,,,,,,
"reserve a decision, reserved decision",,"decisión, fallo en suspenso, reservado; reservar, mantener en suspenso a una decisión, fallo",,Clarify what reserving a decision is,,,
,,,,,,,
,,,,,,,
resettlement,,"reasentamiento, reubicación ",,Look for Spanish-language sources on this…,,,
,,,,,,,
,,,,,,,
resident alien ,,extranjero residente,,"As per USCIS: ""Applies to non-U.S. citizens currently residing in the United States. The term is applied in three different manners; please see Permanent Resident, Conditional Resident, and Returning Resident""",,,
,,,,,,,
,,,,,,,
resident alien card,,tarjeta de extranjero residente,,see 'resident alien',,,
,,,,,,,
,,,,,,,
respondent,,compareciente,,,,,
,,,,,,,
"rest, to",,dejar de practicar la prueba,,"Should this be combined with special immigrant, or should a distinction be made?",,,
,,,,,,,
returning resident,,"(visado de) residente que retorna, vuelve",,"The DoS (issuer of these visas, known as SB-1) translates this variously as ""Residentes de Regreso"" (US Embassy, Guatemala City), ""residentes que retornan"" and ""residentes en retorno"" (travel.state.gov). While the calquey nature of this translation might be uncomfortable, consider the standard ""retorno voluntario"" used in EU space.",,,
,,,,,,,
,,,,,,,
revalidation of a visa,,renovación de (el) visado,,,,,
,,,,,,,
revocation of a visa,,"cancelación (MX), anulación (SP), revocación (USCIS)",,"Mexico: SRE's series of advisory posters, ""Cancelación Visas 2019"";  Spain: http://www.exteriores.gob.es/Consulados/MEXICO/es/InformacionParaExtranjeros/Paginas/Preguntas-Fr.aspx; USCIS: https://www.uscis.gov/es/forms/solicitudes-de-visas-inmigrante-devueltas-por-las-oficinas-consulares-del-departamento-de-estado",,,
,,,,,,,
,,,,,,,
RFE,,solicitudes de evidencia,,Request for Evidence. USCIS calls them Solicitudes de Evidencia. https://www.uscis.gov/es/noticias/alertas/uscis-anuncia-flexibilidad-para-las-solicitudes-de-evidencia-notificacion-de-intencion-de-denegacion,,,
,,,,,,,
,,,,,,,
RFR,,petición/pedimento de revisión; Reasonable Fear Review proceedings,,,,,
,,,,,,,
rider (respondent),,"(compareciente) secundario, adicional",,"This is a difficult term to research, given the prevalence of the term 'rider' in other contexts (contracts, insurance policies). Contrasting between the 'compareciente principal' (lead respondent) and 'compareciente secundario' (rider respondent) provides conceptual clarity.",,,
,,,,,,,
,,,,,,,
right of appeal,,Derecho de apelar/apelación,,,,,
,,,,,,,
right to obtain the services of legal counsel ,,derecho a conseguir los servicios de un licenciado/abogado/consejo legal,,,,,
,,,,,,,
rules of evidence,,reglas de (la) prueba,,"As per, for example, Reglas de Procedimiento y Prueba, Publicación de la Corte Penal Internacional.",,,
,,,,,,,
,,,,,,,
safe haven,,"santuario, refugio",,"In the context of asylum, this phrase is used once in the UNHCR manual: p. 111, and is translated as 'santuario'. It has another usage, though, which is common in American English (see excellent linguistic-political analysis at https://foreignpolicy.com/2015/01/26/al-qaeda-islamic-state-myth-of-the-terrorist-safe-haven/), and is defined by the State Department (https://2009-2017.state.gov//documents/organization/65466.pdf) as: ""A terrorist safe haven is an area of relative security exploited by terrorists to indoctrinate, recruit, coalesce, train, and regroup, as well as prepare and support their operations."" The document further indicates that these can be physical, electronic, or otherwise ""virtual"" safe havens.",,,
,,,,,,,
,,,,,,,
safe third country,,tercer país seguro,,,,,
,,,,,,,
schedule a case,,"fijar, programar una fecha para el caso, la audiencia, la vista",,,,,
,,,,,,,
school record,,expediente escolar,,,,,
,,,,,,,
seek (Legal),,"solicitar, pedir",,,,,
,,,,,,,
seek admission,,solicitar/pedir admisión,,See 'entry' for more discussion.,,,
,,,,,,,
,,,,,,,
self supporting document,,documento de fe pública,,"This is exactly what it sounds like; a document that needs no further corroboration (for example, a birth certificate)",,,
,,,,,,,
,,,,,,,
sentence,,condena,,"As per Miguel Valenzuela. See 'Decisions and Appeals' reference for much, much more.",,,
,,,,,,,
,,,,,,,
sentencing,,"imposición de la condena, pena",,,,,
,,,,,,,
sentencing guidelines,,banda punitiva,,,,,
,,,,,,,
separation of witnesses,,incomunicación de los testigos,,"Jowers, pp. 358. See also 'exclusion' and 'sequestration' of witnesses.",,,
,,,,,,,
,,,,,,,
sequestration of witnesses,,incomunicación de los testigos,,"Sequestration refers to the strict circumstances surrounding Grand Jurors and some trial witnesses, wherein they are kept isolated from society in general. This is contrasted with the separation of witnesses, which is what we see in Immigration Court when the IJ requests a witness wait outside until their testimony is required, so as to avoid hearing other witness' testimony. The phrase 'exclusion of witnesses', in English, can refer to both separation as just described, as well as, generally in criminal court, to a witness being barred from testifying for whatever reason (prejudicial, etc). See also 'separation', 'exclusion' of witnesses.",,,
,,,,,,,
,,,,,,,
sexual abuse,,Abuso sexual,,See the 'Sex Crimes' reference for further breakdown on specific terms.,,,
,,,,,,,
,,,,,,,
sham marriage,,matrimonio de conveniencia,,Contrast this term with 'marriage fraud' https://es.wikipedia.org/wiki/Matrimonio_de_conveniencia ,,,
,,,,,,,
,,,,,,,
singled out,,ser un blanco; seleccionar; elegir personalmente; atentar contra,,See 'target'.,,,
,,,,,,,
,,,,,,,
smuggler,,(de bienes) contrabandista; (de personas) tratante de personas; (frontera EEUU/Mex.) coyote; (Cuba) lanchero,,"Vease la Convención de las Naciones Unidas Contra la Delincuencia Organizada Transnacional y sus Protocolos, p. 5",,,
,,,,,,,
,,,,,,,
sound discretion (of the Court),,"discreción fundada, discreción irrebatible",,"""well-reasoned"".",,,
,,,,,,,
,,,,,,,
Special Immigrants,,Inmigrantes Especiales,,,,,
,,,,,,,
special rule for battered spouses,,"regla, norma especial para cónyuges golpeados, maltratados",,"Keep in mind the difference between a rule (norma, regla) and regulation (normativa, reglamento). Also, 'battered' here refers to someone who has been subject to abuse (abuso, maltrato, malos tratos) that was specifically physically violent in nature, and particularly severe. In other words, the spouse was not simply subject to abuse, but subject to battery through that abuse. A literal translation leads us to 'cónyuge golpeado/a', whereas a contextual translation that makes reference to the pattern of abuse would be more like 'cónyuge maltratado/a'.",,,
,,,,,,,
,,,,,,,
specious argument,,"argucia, argumento engañoso",,,,,
,,,,,,,
sponsor,,patrocinador; (VAWA) auto-patrocindador,,"Given the interference in Mexican colloquial with 'patrón' for boss, and USCIS' use of 'patrocinio' in official documents, 'patrocinio' would be the form recommended for this concept.",,,
,,,,,,,
,,,,,,,
Sponsored Immigrant,,"migrante, inmigrante patrocinado",,,,,
,,,,,,,
spouse ,,cónyuge,,,,,
,,,,,,,
SSA,,Administración de la Seguridad Social,,,,,
,,,,,,,
State Department Advisory Opinion,,opinión consultiva del Departamento de Estado,,This is an official response from the DoS regarding the two-year home-country physical presence requirement: https://travel.state.gov/content/travel/en/us-visas/visa-information-resources/advisory-opinions.html,,,
,,,,,,,
,,,,,,,
State Department Country Report,,Informe del Departamento de Estado sobre las condiciones actuales en el país,,"The official name of these reports as per the State Department is the Country Reports on Human Rights Practices, https://www.state.gov/reports/2019-country-reports-on-human-rights-practices/ That said, IJs routinely refer to these reports in many different ways: 'the current State Department report', 'the country conditions report', 'the current human rights report'; so be ready to adapt your interpretation to whatever the IJ says.",,,
,,,,,,,
,,,,,,,
state your appearances,,Preséntense para que conste (su comparecencia),,,,,
,,,,,,,
stateless,,apátrida,,,,,
,,,,,,,
statement under oath,,"declaración bajo juramento, protesta",,,,,
,,,,,,,
,,,,,,,
status conference,,audiencia de actualización,,,,,
,,,,,,,
statute of limitations,,prescripción,,Many translator and interpreters' resources will give this as 'periodo de prescripción'. The 'periodo' is not necessary; the concept of time is included in the idea of 'prescripción'. See the RAE.,,,
,,,,,,,
,,,,,,,
statutorily bar,,prohibir por ley,,,,,
,,,,,,,
statutorily eligible,,reunir/cumplir los requisitos conforme con/según la ley,,,,,
,,,,,,,
statutory requirements,,requisitos legales/de ley,,,,,
,,,,,,,
statutory threshold (to meet the),,cumplir/reunir los requisitos mínimos,,,,,
,,,,,,,
stay ,,"suspensión, orden de suspensión, suspender",,,,,
,,,,,,,
,,,,,,,
stay of deportation order,,suspensión de la orden de deportación,,,,,
,,,,,,,
stipulate,,estipular,,"RAE: ""estipulación. Del lat. stipulatio,-onis. 1. f. Convenio verbal. 2. f. Der. Cada una de las disposiciones de un documento público o particular. 3. f. Der. Promesa que se hacía y aceptaba verbalmente, según las solemnidades y fórmulas prevenidas pro el derecho romano.",,,
,,,,,,,
,,,,,,,
stop-time rule,,regla de la suspensión de la acumulación de tiempo,,"This generally refers to 42-B relief, in which the respondent must have accumulated 10 years' physical presence in the country before issuance of the NTA.",,,
,,,,,,,
,,,,,,,
stowaway,,polizón,,,,,
,,,,,,,
strike from the record; strike that,,"tachar (del acta, las actas); tache eso",,,,,
,,,,,,,
subject to an order,,sujeto/a a una orden,,,,,
,,,,,,,
submission of evidence,,presentación/tramitación de pruebas,,,,,
,,,,,,,
submit documents,,presentar/radicar/entregar documentos,,See also 'file'. ,,,
,,,,,,,
,,,,,,,
substantive evidence,,pruebas sustantivas,,,,,
,,,,,,,
substantive grounds,,indicios sustantivos,,,,,
,,,,,,,
substitute sponsor,,"patrocinador sustituto, suplente",,"Substitute sponsor means an individual who meets the requirements of section 213A(f)(1)(A), (B), (C), and (E) of the Act and 8 CFR 213a.2(c)(1)(i), who is related to the principal intending immigrant in one of the ways described in section 213A(f)(5)(B) of the Act, and who is willing to sign the affidavit of support in place of the now-deceased person who filed ta relative or fiancé(e) petition that provides the basis for the intending immigrant's ability to seek permanent residence. 8 CFR § 213a.1 - Definitions. ",,,
,,,,,,,
,,,,,,,
subversive activity,,actividad subversiva,,"Lots of UN sources, as well as Europarl, clearly use these two as equivalents.",,,
,,,,,,,
,,,,,,,
succeed (on appeal),,prosperar,,https://www.expansion.com/juridico/actualidad-tendencias/2016/03/01/56d5e3d246163fb75b8b465e.html,,,
,,,,,,,
,,,,,,,
summarily dismissed (an appeal),,desestimación anticipada,,See 'Decisions and Appeals' reference for more.,,,
,,,,,,,
,,,,,,,
summations,,alegato final,,This is a synonym of 'closing argument'.,,,
,,,,,,,
,,,,,,,
summon a witness,,"citar, citar a comparecer, convocar a un testigo",,"Consider the action of summoning someone -- citar or convocar -- versus the issuing of a summons, emitir una citación/orden judicial de comparecencia.",,,
,,,,,,,
,,,,,,,
summons,,citación/orden judicial de comparecencia,,"Según Alcaráz y la RAE, una citación es una orden de comparecencia judicial, mientras que un citatorio es una orden de comparecencia, pero no judicial. ",,,
,,,,,,,
,,,,,,,
superseding charging document,,"imputación, acusación, documento acusatorio, imputatorio sustituivo, supletorio",,"The more commonly-heard phrasing is ""superseding indictment"". The Peruvian Penal Code, for example, provides for the modification of indictments, but doesn't seem to describe the situation expressed as a ""superseding"" indictment.",,,
,,,,,,,
,,,,,,,
supplemental asylum application,,solicitud de asilo suplementaria,,,,,
,,,,,,,
supported by the record,,"sustentado en, según el acta",,,,,
,,,,,,,
supporting documents,,documentos de apoyo,,,,,
,,,,,,,
supporting materials,,materiales de apoyo,,,,,
,,,,,,,
suppression of evidence,,inadmisión de la prueba,,"As per Jowers, p. 140, 144, 'inadmision de pruebas'",,,
,,,,,,,
,,,,,,,
surrender for removal,,entregarse para su expulsión,,,,,
,,,,,,,
surviving parent,,"padre, madre, padre de familia que sobrevive",,"This is a usage of the word 'survive' which is standard language in obituaries. Towards the end of an obituary, there will be a section that might read, ""She is survived by her children, sister, and grandchildren,"" with the names of all of those persons. Spanish-language obituaries don't seem to follow this pattern, opting for putting a list of all surviving family members first as subjects, followed by ""...ruegan una oración por su alma..."", or simply a statement of the place and date of death. Newspaper-style obituaries often don't mention the family. Despite Spanish having a cognate for this word, English has this usage attested as of the year 1473 (OED, 1977), which does not correspond to the Spanish usages of 'sobrevivir' or 'superviviente'. ",,,
,,,,,,,
,,,,,,,
suspension of deportation,,suspensión de (la) deportación,,,,,
,,,,,,,
"sworn, to be ",,estar juramentado; estar puesto bajo juramento; estar bajo protesta (de decir verdad),,"In Mexico in particular, and in general in Spanish, it is common to hear the phrase 'protesta de decir verdad'. However, while this may be the native or more authentic way to say this, it quickly leads to confusion in the American context. Use with caution.",,,
,,,,,,,
,,,,,,,
TA (Trial Attorney),,"Abogado del Gobierno, Representante del Departamento (de Seguridad Nacional)",,"Is a Trial Attorney a litigator? What is the equivalent of this role in Spanish? Procurador? As per Aaron Lindsay, DHS attorneys are not prosecutors; ""at most, we're General Counsel""; as per Jeremy Santoro, ""prosecutor"" would be ""fair"", but they are Trial Attorneys; as per Cheryl Gutridge, ""I can see how someone sitting in the respondent's position would not appreciate the difference between the role of a prosecutor and that of DHS Attorney""; she defines their role as Trial Attorney, is not aware of whether there is a differentiation between a litigator and a Trial Attorney, and would lean towards a translation of ""DHS Representative"" for their title. As per Staff Attorneys of Cleveland EOIR on 9/20/19, a 'litigator' may be someone who works in litigation -- preparing briefs and filings, etc -- but never sees a courtroom, whereas a TA is someone who by definition does in-court litigation work. As per Jowers, p. 95, 'abogado litigante'. See 'Assistant Chief Counsel'.",,,
,,,,,,,
,,,,,,,
take judicial notice,,reconocer como hecho notorio,,"As per Jowers, p. 143, ""reconocer judicialmente como hecho notorio no necesitado de prueba""",,,
,,,,,,,
,,,,,,,
target,,"blanco, objetivo, ir contra, atentar contra",,,,,
,,,,,,,
Temporary Protected Status (TPS),,"(USA) estatus, (worldwide) condición, (Spain/EU) estatuto de protección temporal",,"Interestingly, Spanish seems to have adopted 'temporal', probably through influence from English, in this instance, rather than for example 'provisional'. It is seen in the ACNUR manual, as well as in Directiva 2001/55/CE del Consejo, de 20 de julio de 2001. It is also broadly used by USCIS and within the United States. The recommended phrase would be 'condición de protección temporal', acknowledging that many here in the US are likely to call it 'estatus'. For more on the usage of 'estatuto', see resources from the Centro de Acogida a Refugiados, in Spain.",,,
,,,,,,,
,,,,,,,
temporary restraining order,,Orden de restricción/cesación provisional,,"As per Jowers, p. 142, re: cesación. The issue here is whether we're talking about a criminal (restriccion) restraining order or civil (cesacion).",,,
,,,,,,,
,,,,,,,
temporary worker,,trabajador temporal,,For example: https://www.empleo.gob.mx/sne/programa-trabajadores-agricolas-temporales-mexico-canada,,,
,,,,,,,
